"gene_symbol","mean_AD_training","mean_Control_training","logFC_training","direction","plot_value","coefficient"
"CLSTN1",-0.489240233334,0.484247986055079,-0.973488219389079,"down_in_AD",-0.973488219389079,-0.166741637085807
"UBQLN2",-0.482392734232446,0.477470359393342,-0.959863093625788,"down_in_AD",-0.959863093625788,-0.022016782801111
"ATAD1",-0.451978614524211,0.44736658784539,-0.899345202369601,"down_in_AD",-0.899345202369601,-0.806772611181985
"BSCL2",-0.387186858670055,0.383235972357092,-0.770422831027147,"down_in_AD",-0.770422831027147,-0.0385171453528003
"THY1",-0.370865367506024,0.36708102702127,-0.737946394527294,"down_in_AD",-0.737946394527294,-0.671977289364222
"LRRC7",-0.343443590997357,0.339939064558609,-0.683382655555966,"down_in_AD",-0.683382655555966,-0.210358173633799
"GNG3",-0.329343496878268,0.325982848950939,-0.655326345829207,"down_in_AD",-0.655326345829207,-0.176020056605136
"MBNL2",-0.327492427302884,0.324150667840605,-0.651643095143489,"down_in_AD",-0.651643095143489,-0.176798522676068
"RUNX2",-0.320887551953138,0.317613189178105,-0.638500741131242,"down_in_AD",-0.638500741131242,-0.0161843742872848
"NRG3",-0.283675148508908,0.28078050413637,-0.564455652645278,"down_in_AD",-0.564455652645278,-0.389180382842627
"MDK",-0.257247503376147,0.254622528851908,-0.511870032228055,"down_in_AD",-0.511870032228055,-0.463860556347302
"KLK10",-0.23468987252838,0.232295077910747,-0.466984950439127,"down_in_AD",-0.466984950439127,-0.706539361986746
"CACNA2D1",-0.203373204093751,0.201297967317288,-0.404671171411039,"down_in_AD",-0.404671171411039,0.135572337092937
"CNTNAP1",-0.202958417691134,0.200887413428978,-0.403845831120112,"down_in_AD",-0.403845831120112,0.546773203392805
"FLVCR1",0.221412836577875,-0.219153521918909,0.440566358496785,"up_in_AD",0.440566358496785,0.0797758483611531
"CPSF4L",0.23407395294942,-0.231685443225444,0.465759396174864,"up_in_AD",0.465759396174864,0.0132856686289023
"TBXA2R",0.246620428878359,-0.244103893889812,0.490724322768171,"up_in_AD",0.490724322768171,0.0243337827719421
"RANBP3L",0.255293762321927,-0.252688723930886,0.507982486252814,"up_in_AD",0.507982486252814,0.0361301023947853
"FAM26E",0.27085212069366,-0.268088323543721,0.538940444237381,"up_in_AD",0.538940444237381,0.0945016050757448
"PRR20D",0.271680829725798,-0.268908576361249,0.540589406087048,"up_in_AD",0.540589406087048,0.0345136119429965
"PLP1",0.273070444182345,-0.270284011078441,0.543354455260786,"up_in_AD",0.543354455260786,0.185352016154244
"CRYBA2",0.285913745349777,-0.282996258152324,0.568910003502101,"up_in_AD",0.568910003502101,0.0565765211662173
"TRIM63",0.331902160613252,-0.328515403872311,0.660417564485563,"up_in_AD",0.660417564485563,0.129624681627263
"C17orf47",0.340310770141321,-0.336838211262322,0.677148981403643,"up_in_AD",0.677148981403643,0.171958619680998
"NPNT",0.434796183627887,-0.430359487876583,0.86515567150447,"up_in_AD",0.86515567150447,0.414778219115756
"CALHM2",0.483352047289252,-0.478419883541406,0.961771930830658,"up_in_AD",0.961771930830658,0.197557304029243
"ARAP1",0.525174377593549,-0.519815455373207,1.04498983296676,"up_in_AD",1.04498983296676,0.344364345037895
